,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment,VIX,TNX,SPY,QQQ,XLK
0,2020-01-02,76.63,77.7,76.57,77.7,7631136.0,SBUX,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,77.7,77.7,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,75.88,75.89,74.96,75.6,4294160.0,TMUS,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,75.6,75.6,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,28.3,28.71,28.11,28.68,146451840.0,TSLA,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,28.68,28.68,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,108.14,108.54,107.0,108.5,5014316.0,TXN,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,108.5,108.5,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,220.24,220.6541,216.95,219.45,1460086.0,VRTX,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,219.45,219.45,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-03,71.63,72.46,71.48,71.7,154711256.0,AAPL,1,-0.015929487179491275,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,72.055,72.055,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,329.17,332.98,328.69,331.81,1791862.0,ADBE,1,-0.05878205128203717,336.8252395334175,329.4147604665825,0.0,-66.66666666666913,100.0,333.12,333.12,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,105.52,107.01,105.28,105.8,1639880.0,ADI,1,-0.04240384615384585,109.41786363288517,104.07213636711484,0.0,-66.66666666666744,100.0,106.745,106.745,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,146.48,148.57,146.48,148.14,1212794.0,ADP,1,-0.006955128205134997,148.73340620433564,147.85659379566434,0.0,-66.6666666666688,100.0,148.295,148.295,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,195.84,198.39,195.08,196.91,2215716.0,AMGN,1,-0.030288461538418687,199.49418830920362,195.67581169079634,0.0,-66.66666666666667,100.0,197.58499999999998,197.58499999999998,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,93.23,94.31,93.23,93.75,80600260.0,AMZN,1,-0.025801282051276075,95.95134559672907,92.69865440327094,0.0,-66.66666666666666,100.0,94.325,94.325,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,27.26,27.48,26.97,26.98,25619640.0,AVGO,1,-0.01570512820512704,28.319949493661163,26.340050506338834,0.0,-66.66666666666667,100.0,27.33,27.33,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,2005.13,2029.89,1997.8,2027.72,332193.0,BKNG,1,-0.20057692307682373,2044.8330692476156,2019.5469307523845,0.0,-66.66666666666667,100.0,2032.19,2032.19,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,34.91,35.21,34.7,35.05,22929861.0,CMCSA,1,-0.0062820512820565,35.58597979746447,34.79402020253553,0.0,-66.66666666666868,100.0,35.19,35.19,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,265.02,267.63,264.36,266.56,2249472.0,COST,1,0.004935897435871084,266.76112698372214,266.13887301627784,100.0,-66.66666666666266,100.0,266.45,266.45,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,39.83,40.02,39.47,39.6,17925401.0,CSCO,1,-0.014807692307691411,40.863380951166235,38.996619048833765,0.0,-66.66666666666782,100.0,39.93,39.93,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,50.95,51.54,50.9,51.3,5630124.0,GILD,1,-0.002916666666664014,51.5488477631085,51.18115223689149,0.0,-66.6666666666649,100.0,51.364999999999995,51.364999999999995,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,66.84,68.12,66.81,67.52,26398800.0,GOOGL,1,-0.00785256410256352,68.18997474683057,67.20002525316941,0.0,-66.66666666671404,100.0,67.695,67.695,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,147.61,148.84,146.84,148.04,3224922.0,HON,1,-0.03567307692307509,151.0835995641732,146.58640043582676,0.0,-66.66666666666403,100.0,148.83499999999998,148.83499999999998,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,52.76,53.54,52.76,53.01,17560984.0,INTC,1,-0.014807692307698517,54.27338095116626,52.40661904883375,0.0,-66.66666666666667,100.0,53.34,53.34,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,251.14,254.75,250.98,253.8,961213.0,INTU,1,-0.038365384615389075,257.07330519165794,252.23669480834204,0.0,-66.66666666666443,100.0,254.655,254.655,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,196.06,198.19,194.05,197.78,1439190.0,ISRG,1,-0.029391025641018587,200.28761976670876,196.58238023329125,0.0,-66.66666666666667,100.0,198.435,198.435,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,46.17,46.66,46.14,46.37,8268140.0,MDLZ,1,-0.0017948717948712556,46.52313708498985,46.296862915010145,0.0,-66.66666666666666,100.0,46.41,46.41,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,205.62,208.78,205.35,207.06,12292053.0,META,1,-0.024679487179497528,209.16563491861044,206.0543650813896,0.0,66.66666666663508,100.0,207.61,207.61,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,149.97,151.51,149.72,150.25,24389239.0,MSFT,1,-0.04262820512818166,153.88700576850886,148.51299423149112,0.0,-66.66666666666863,100.0,151.2,151.2,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,32.68,32.99,32.55,32.59,40465780.0,NFLX,1,-0.008749999999999147,33.33654328932549,32.2334567106745,0.0,-66.66666666667098,100.0,32.785,32.785,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,5.851,5.919,5.826,5.875,219554560.0,NVDA,1,-0.0021538461538455067,6.058764501987818,5.7872354980121825,0.0,-66.6666666666675,100.0,5.923,5.923,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,111.83,112.93,111.56,111.97,5016485.0,PEP,1,-0.003589743589742511,112.27627416997969,111.82372583002031,0.0,-66.66666666666667,100.0,112.05,112.05,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
