,date,close,high,low,open,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,2020-01-02,72.40052032470703,72.46078378305016,71.15668166173941,71.40978524422886,135480400,AAPL,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,72.40052032470703,72.40052032470703
0,2020-01-02,69.26614379882812,69.28161102726955,68.4617121906662,68.90260196712063,5639200,ABBV,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,69.26614379882812,69.26614379882812
0,2020-01-02,49.099998474121094,49.25,46.630001068115234,46.86000061035156,80331100,AMD,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,49.099998474121094,49.099998474121094
0,2020-01-02,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000,AMZN,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,94.90049743652344,94.90049743652344
0,2020-01-02,27.677488327026367,27.686933294561996,27.242225644025734,27.413926573443774,20329000,AVGO,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,27.677488327026367,27.677488327026367
0,2020-01-02,30.587556838989258,30.604721966630358,30.28717529005332,30.338667399063286,37614200,BAC,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,30.587556838989258,30.587556838989258
0,2020-01-02,132.56475830078125,132.582375131747,130.3190893911697,131.2173596425553,3311900,CAT,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,132.56475830078125,132.56475830078125
0,2020-01-02,266.1339111328125,268.95511542228974,265.68654408125013,268.48035911987495,2103600,COST,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,266.1339111328125,266.1339111328125
0,2020-01-02,40.25421905517578,40.25421905517578,39.805289637414766,39.95493383379129,16708100,CSCO,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,40.25421905517578,40.25421905517578
0,2020-01-02,92.01773071289062,92.16928523220628,91.51759039256721,91.54790245271721,5205000,CVX,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,92.01773071289062,92.01773071289062
0,2020-01-02,57.74748611450195,57.89270254929655,54.35911992495522,54.35911992495522,17540015,GE,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,57.74748611450195,57.74748611450195
0,2020-01-02,67.811767578125,67.84995201011368,66.53127996922048,66.53127996922048,28132000,GOOG,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,67.811767578125,67.811767578125
0,2020-01-02,67.8730239868164,67.8730239868164,66.77262179859589,66.86783552352698,27278000,GOOGL,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,67.8730239868164,67.8730239868164
0,2020-01-02,188.72763061523438,188.8135408168817,187.16391549060685,188.22930424947583,3935700,HD,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,188.72763061523438,188.72763061523438
0,2020-01-02,122.63822174072266,122.68023232713017,121.89047945406072,122.55420056790763,5777000,JNJ,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,122.63822174072266,122.63822174072266
0,2020-01-02,119.0364227294922,119.04486788310541,117.4924658423187,117.9396212776864,10803700,JPM,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,119.0364227294922,119.0364227294922
0,2020-01-02,45.432716369628906,45.796243050846,45.24268769240269,45.70536059261641,11867700,KO,3,0.0,73.04402422534594,71.053128484615,0.0,-66.6666666666739,100.0,45.432716369628906,45.432716369628906
