,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment
0,2020-01-02,71.42,72.47,71.16,72.41,146217352.0,AAPL,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,72.41,72.41,0.0
0,2020-01-02,68.9,69.28,68.46,69.26,6238305.0,ABBV,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,69.26,69.26,0.0
0,2020-01-02,46.86,49.25,46.63,49.1,82663736.0,AMD,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,49.1,49.1,0.0
0,2020-01-02,93.75,94.9,93.21,94.9,87691460.0,AMZN,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,94.9,94.9,0.0
0,2020-01-02,27.42,27.69,27.25,27.68,21710820.0,AVGO,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,27.68,27.68,0.0
0,2020-01-02,30.34,30.6,30.28,30.58,40600475.0,BAC,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,30.58,30.58,0.0
0,2020-01-02,131.16,132.62,130.35,132.6,3879440.0,CAT,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,132.6,132.6,0.0
0,2020-01-02,268.69,269.16,265.89,266.34,2250899.0,COST,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,266.34,266.34,0.0
0,2020-01-02,39.96,40.26,39.81,40.26,18451259.0,CSCO,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,40.26,40.26,0.0
0,2020-01-02,91.53,92.15,91.5,92.0,5870367.0,CVX,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,92.0,92.0,0.0
0,2020-01-02,54.11,57.6,54.11,57.48,11601064.0,GE,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,57.48,57.48,0.0
0,2020-01-02,66.53,67.85,66.53,67.81,31114540.0,GOOG,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,67.81,67.81,0.0
0,2020-01-02,66.86,67.87,66.77,67.87,30585700.0,GOOGL,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,67.87,67.87,0.0
0,2020-01-02,188.1,188.68,187.04,188.6,4489143.0,HD,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,188.6,188.6,0.0
0,2020-01-02,122.56,122.68,121.89,122.64,6495238.0,JNJ,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,122.64,122.64,0.0
0,2020-01-02,117.87,118.97,117.42,118.96,12203026.0,JPM,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,118.96,118.96,0.0
0,2020-01-02,45.72,45.81,45.25,45.44,13777083.0,KO,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,45.44,45.44,0.0
0,2020-01-02,122.33,122.85,121.43,122.81,2511233.0,LLY,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,122.81,122.81,0.0
