,date,close,high,low,open,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment
0,2020-01-02,72.40052795410156,72.46079141879511,71.15668916006118,71.4097927692221,135480400,AAPL,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,72.40052795410156,72.40052795410156,0.0
0,2020-01-02,69.26617431640625,69.28164155166229,68.46174235382436,68.90263232452791,5639200,ABBV,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,69.26617431640625,69.26617431640625,0.0
0,2020-01-02,49.099998474121094,49.25,46.630001068115234,46.86000061035156,80331100,AMD,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,49.099998474121094,49.099998474121094,0.0
0,2020-01-02,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000,AMZN,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,94.90049743652344,94.90049743652344,0.0
0,2020-01-02,27.677492141723633,27.68693711056103,27.242229398732174,27.41393035181519,20329000,AVGO,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,27.677492141723633,27.677492141723633,0.0
0,2020-01-02,30.587562561035156,30.60472769188736,30.287180955906532,30.33867307454918,37614200,BAC,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,30.587562561035156,30.587562561035156,0.0
0,2020-01-02,132.56475830078125,132.582375131747,130.3190893911697,131.2173596425553,3311900,CAT,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,132.56475830078125,132.56475830078125,0.0
0,2020-01-02,266.1339416503906,268.9551462633754,265.68657454752866,268.4803899065203,2103600,COST,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,266.1339416503906,266.1339416503906,0.0
0,2020-01-02,40.25421142578125,40.25421142578125,39.80528209310597,39.95492626112038,16708100,CSCO,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,40.25421142578125,40.25421142578125,0.0
0,2020-01-02,92.01771545410156,92.16926994828576,91.51757521671364,91.54788727183715,5205000,CVX,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,92.01771545410156,92.01771545410156,0.0
0,2020-01-02,57.74748992919922,57.89270637358656,54.359123515822986,54.359123515822986,17540015,GE,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,57.74748992919922,57.74748992919922,0.0
0,2020-01-02,67.81175994873047,67.84994437642308,66.53127248389157,66.53127248389157,28132000,GOOG,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,67.81175994873047,67.81175994873047,0.0
0,2020-01-02,67.87303924560547,67.87303924560547,66.77263680999941,66.86785055633585,27278000,GOOGL,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,67.87303924560547,67.87303924560547,0.0
0,2020-01-02,188.72767639160156,188.8135866140866,187.16396088769096,188.22934990497268,3935700,HD,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,188.72767639160156,188.72767639160156,0.0
0,2020-01-02,122.63825225830078,122.6802628551623,121.89050978556894,122.55423106457772,5777000,JNJ,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,122.63825225830078,122.63825225830078,0.0
0,2020-01-02,119.03640747070312,119.0448526232338,117.49245078144311,117.9396061594918,10803700,JPM,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,119.03640747070312,119.03640747070312,0.0
0,2020-01-02,45.432716369628906,45.796243050846,45.24268769240269,45.70536059261641,11867700,KO,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,45.432716369628906,45.432716369628906,0.0
0,2020-01-02,122.79313659667969,122.83956392879125,121.41854177041897,122.38447403600527,2204200,LLY,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,122.79313659667969,122.79313659667969,0.0
0,2020-01-02,292.8985290527344,293.0336724128972,289.14303443027217,290.06982856165257,3272400,MA,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,292.8985290527344,292.8985290527344,0.0
0,2020-01-02,208.14657592773438,208.15649261372965,204.66391150608143,205.1401698134919,12077100,META,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,208.14657592773438,208.14657592773438,0.0
0,2020-01-02,152.1584014892578,152.26260717686054,149.98904693545595,150.41533767385138,22622100,MSFT,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,152.1584014892578,152.1584014892578,0.0
0,2020-01-02,54.02115249633789,54.11868343971698,53.16289879672732,53.494496563366056,20173200,MU,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,54.02115249633789,54.02115249633789,0.0
0,2020-01-02,32.98099899291992,32.99800109863281,32.47800064086914,32.61000061035156,44858000,NFLX,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,32.98099899291992,32.98099899291992,0.0
0,2020-01-02,5.970754623413086,5.970754623413086,5.891363982921088,5.941885342751538,237536000,NVDA,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,5.970754623413086,5.970754623413086,0.0
0,2020-01-02,49.32123947143555,49.33037996455284,48.66301236997424,48.69958131725693,13899600,ORCL,3,0.0,73.04401790494856,71.0531653225905,0.0,-66.6666666666739,100.0,49.32123947143555,49.32123947143555,0.0
